Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Stop the suspected medicine and contact a healthcare professional,Seek medical attention promptly for worsening symptoms,Follow the treatment advice given by a healthcare professional,Seek emergency care for severe breathing difficulty or swelling
Malaria,Consult a doctor or healthcare professional,Take prescribed antimalarial treatment exactly as directed,Stay hydrated and get adequate rest,Use mosquito nets or repellents to reduce mosquito exposure
Allergy,Avoid the known allergen if identified,Follow the treatment advice given by a healthcare professional,Keep the affected area clean and avoid scratching,Seek urgent medical care for breathing difficulty or severe swelling
Hypothyroidism,Take prescribed thyroid medicine exactly as directed,Attend recommended follow-up appointments,Eat a balanced diet and stay physically active as tolerated,Get adequate sleep and rest
Psoriasis,Keep the skin moisturized,Follow prescribed treatment as directed,Avoid known triggers and protect the skin from injury,Consult a healthcare professional if symptoms worsen
GERD,Avoid foods that trigger symptoms,Avoid lying down soon after eating,Eat smaller meals and maintain regular meal timing,Follow medical advice if symptoms persist
Chronic cholestasis,Consult a healthcare professional for evaluation,Take prescribed medicines as directed,Avoid alcohol and follow dietary advice provided by your clinician,Seek medical advice if jaundice or itching worsens
hepatitis A,Rest and stay well hydrated,Follow medical advice and take prescribed medicines as directed,Avoid alcohol while recovering,Practice good hand hygiene to reduce spread
Osteoarthristis,Stay physically active with suitable low-impact exercise,Follow prescribed pain-management advice,Maintain a healthy weight if advised by a healthcare professional,Consult a healthcare professional if pain or function worsens
(vertigo) Paroymsal  Positional Vertigo,Move slowly when changing position,Avoid sudden head movements that trigger symptoms,Use support when walking if you feel unsteady,Consult a healthcare professional for persistent or recurrent symptoms
Hypoglycemia,Check blood glucose if you have been advised to do so,Follow your prescribed diabetes management plan,Consume fast-acting carbohydrate when low blood sugar is confirmed and follow your care plan,Seek medical help for severe or persistent symptoms
Acne,Wash the affected skin gently twice daily,Avoid picking or squeezing pimples,Use only recommended non-comedogenic skin products,Consult a healthcare professional for persistent or severe acne
Diabetes,Follow the prescribed diabetes management plan,Monitor blood glucose as advised,Stay physically active and eat a balanced diet,Attend regular medical follow-up appointments
Impetigo,Keep affected areas clean and avoid touching them,Do not share towels or personal items,Use prescribed antibiotics or treatment exactly as directed,Seek medical advice if the infection spreads or worsens
Hypertension,Check blood pressure as advised,Take prescribed medicines exactly as directed,Limit excess salt and follow a balanced diet,Stay physically active and attend regular follow-up
Peptic ulcer diseae,Take prescribed treatment exactly as directed,Avoid medicines that can irritate the stomach unless advised by a clinician,Avoid smoking and alcohol,Seek medical attention for severe or persistent abdominal symptoms
Dimorphic hemmorhoids(piles),Increase dietary fiber gradually if appropriate,Drink adequate fluids,Avoid prolonged straining during bowel movements,Consult a healthcare professional for persistent bleeding or pain
Common Cold,Get adequate rest and sleep,Drink plenty of fluids,Use warm fluids or humidified air for temporary symptom relief,Seek medical advice if symptoms are severe or persistent
Chicken pox,Keep the skin clean and avoid scratching,Avoid close contact with people who are vulnerable to infection,Stay home while contagious and follow medical advice,Consult a healthcare professional if symptoms become severe
Cervical spondylosis,Maintain good posture,Use gentle exercises as advised by a healthcare professional,Avoid activities that worsen neck pain,Seek medical attention for new weakness numbness or severe symptoms
Hyperthyroidism,Take prescribed treatment exactly as directed,Attend recommended follow-up appointments,Avoid excessive iodine supplements unless advised by a clinician,Seek medical advice if symptoms worsen
Urinary tract infection,Drink adequate fluids unless medically restricted,Take prescribed antibiotics exactly as directed if prescribed,Do not delay medical evaluation for persistent symptoms,Seek prompt medical care for fever back pain or worsening symptoms
Varicose veins,Stay physically active and avoid prolonged sitting or standing,Elevate the legs when resting if comfortable,Follow medical advice about compression garments,Consult a healthcare professional if swelling pain or skin changes develop
AIDS,Take prescribed HIV treatment exactly as directed,Attend regular medical follow-up,Practice safer behaviors that reduce infection transmission,Seek medical care promptly for new or worsening symptoms
Paralysis (brain hemorrhage),Seek emergency medical care immediately,Follow the treatment and rehabilitation plan provided by healthcare professionals,Take prescribed medicines exactly as directed,Attend recommended follow-up appointments
Typhoid,Consult a healthcare professional promptly,Take prescribed antibiotics exactly as directed,Stay hydrated and rest,Practice careful hand hygiene and food safety
Hepatitis B,Follow medical advice and take prescribed treatment as directed,Attend recommended liver-health follow-up,Practice measures that reduce transmission,Discuss hepatitis B vaccination with a healthcare professional when appropriate
